index,city,latitude,longitude
0,"Seattle, WA",47.6062095,-122.3320708
1,"Palo Alto, CA",37.4418834,-122.1430195
2,"San Diego, CA",32.715738,-117.1610838
3,"Houston, TX",29.7604267,-95.3698028
4,"Salt Lk Cty, UT",40.7607793,-111.8910474
5,"Boulder, CO",40.0149856,-105.2705456
6,"Lincoln, NE",40.8257625,-96.6851982
7,"Champaign, IL",40.1164204,-88.2433829
8,"Atlanta, GA",33.7489954,-84.3879824
9,"Pittsburgh, PA",40.44062479999999,-79.9958864
10,"Ann Arbor, MI",42.2808256,-83.7430378
11,"Ithaca, NY",42.4439614,-76.5018807
12,"College Pk, MD",38.9896967,-76.93776
13,"Princenton, N",40.3614105,-74.6508973
