index,city,latitude,longitude
0,札幌,43.0620958,141.3543763
1,仙台,38.268215,140.8693558
2,福島,37.7502986,140.4675514
3,水戸,36.3665027,140.4709965
4,宇都宮,36.5551124,139.8828072
5,前橋,36.3894816,139.0634281
6,大宮,35.9064871,139.6287539
7,千葉,35.6050574,140.1233063
8,東京,35.7090259,139.7319925
9,八王子,35.6663394,139.3158056
10,横浜,35.4437078,139.6380256
11,新潟,37.9025518,139.0230946
12,金沢,36.56132540000001,136.6562051
13,長野,36.6512986,138.1809557
14,岐阜,35.3912272,136.7222906
15,静岡,34.9771201,138.3830845
16,名古屋,35.1814464,136.906398
17,京都,35.0116363,135.7680294
18,大阪,34.6937378,135.5021651
19,神戸,34.690083,135.1955112
20,広島,34.3852029,132.4552927
21,松山,33.8391574,132.7655752
22,博多,33.59135759999999,130.4148783
23,熊本,32.8031004,130.7078911
24,那覇,26.2123124,127.6791568
