index,city,latitude,longitude
1,札幌,43.0620958,141.3543763
2,青森,40.822072,140.7473647
3,盛岡,39.702053,141.1544838
4,仙台,38.268215,140.8693558
5,秋田,39.7199218,140.1035697
6,山形,38.2554388,140.3396017
7,福島,37.7502986,140.4675514
8,水戸,36.3665027,140.4709965
9,宇都宮,36.5551124,139.8828072
10,前橋,36.3894816,139.0634281
11,さいたま,35.8617292,139.6454822
12,千葉,35.6072668,140.1062907
13,東東京,35.6532174,139.7110363
14,西東京,35.7254963,139.5381564
15,横浜,35.4437078,139.6380256
16,新潟,37.9161924,139.0364126
17,富山,36.6959518,137.2136768
18,金沢,36.56132540000001,136.6562051
19,福井,36.0640669,136.2194938
20,甲府,35.66228,138.5682015
21,長野,36.6485829,138.1947709
22,岐阜,35.4232984,136.7606537
