index,city,latitude,longitude
0,札幌,43.0620958,141.3543763
1,青森,40.822072,140.7473647
2,盛岡,39.702053,141.1544838
3,仙台,38.268215,140.8693558
4,秋田,39.7199218,140.1035697
5,山形,38.2554388,140.3396017
6,福島,37.7502986,140.4675514
7,水戸,36.3665027,140.4709965
8,宇都宮,36.5551124,139.8828072
9,前橋,36.3894816,139.0634281
10,さいたま,35.8617292,139.6454822
11,千葉,35.6072668,140.1062907
12,東東京,35.6532174,139.7110363
13,西東京,35.7254963,139.5381564
14,横浜,35.4437078,139.6380256
15,新潟,37.9161924,139.0364126
16,富山,36.6959518,137.2136768
17,金沢,36.56132540000001,136.6562051
18,福井,36.0640669,136.2194938
19,甲府,35.66228,138.5682015
20,長野,36.6485829,138.1947709
21,岐阜,35.4232984,136.7606537
22,静岡,34.9771201,138.3830845
23,名古屋,35.1814464,136.906398
24,津,34.718596,136.5056975
25,大津,35.0178929,135.8546074
26,京都,35.0116363,135.7680294
27,大阪,34.6937378,135.5021651
28,神戸,34.690083,135.1955112
29,奈良,34.6850869,135.8050002
30,和歌山,34.2305113,135.1708083
31,鳥取,35.5011326,134.2350914
32,松江,35.4680595,133.048375
33,岡山,34.6551456,133.9195019
34,広島,34.3852029,132.4552927
35,山口,34.178496,131.4737269
36,徳島,34.0657179,134.5593601
37,高松,34.3427879,134.046574
38,松山,33.8391574,132.7655752
39,高知,33.5595867,133.5292788
40,福岡,33.5903547,130.4017155
41,佐賀,33.263482,130.3008576
42,長崎,32.7502856,129.877667
43,熊本,32.8031004,130.7078911
44,大分,33.2395578,131.609272
45,宮崎,31.9076736,131.4202411
46,鹿児島,31.5601464,130.5579779
47,那覇,26.2123124,127.6791568
