index,city,latitude,longitude
23,静岡,34.9771201,138.3830845
24,名古屋,35.1814464,136.906398
25,津,34.718596,136.5056975
26,大津,35.0178929,135.8546074
27,京都,35.0116363,135.7680294
28,大阪,34.6937378,135.5021651
29,神戸,34.690083,135.1955112
30,奈良,34.6850869,135.8050002
31,和歌山,34.2305113,135.1708083
32,鳥取,35.5011326,134.2350914
33,松江,35.4680595,133.048375
34,岡山,34.6551456,133.9195019
35,広島,34.3852029,132.4552927
36,山口,34.178496,131.4737269
37,徳島,34.0657179,134.5593601
38,高松,34.3427879,134.046574
39,松山,33.8391574,132.7655752
40,高知,33.5595867,133.5292788
41,福岡,33.5903547,130.4017155
42,佐賀,33.263482,130.3008576
43,長崎,32.7502856,129.877667
44,熊本,32.8031004,130.7078911
45,大分,33.2395578,131.609272
46,宮崎,31.9076736,131.4202411
47,鹿児島,31.5601464,130.5579779
48,那覇,26.2123124,127.6791568
